TransactionId,Portfolio,Type,Amount,Currency,TradeDate,Strategy,CustodianAccount,SettlementDate,ValueDate,CashType,FundingSource,BankAccount,BankName,BankBIC,Reference,ApprovalStatus,ApprovedBy,BookingEntity
CASH-IBOR-EQ-FUND,IBOR-EQ,FundsIn,10000000,USD,2024-01-02,CoreEquity,CUST-BNY-001,2024-01-03,2024-01-03,Initial Funding,Client Wire Transfer,CITI-USD-8899001,Citibank NA,CITIUS33,WIRE-20240102-001,Approved,J. Smith,IBOR Asset Management Ltd
CASH-IBOR-FI-FUND,IBOR-FI,FundsIn,25000000,USD,2024-01-02,InvestmentGrade,CUST-BNY-001,2024-01-03,2024-01-03,Initial Funding,Client Wire Transfer,CITI-USD-8899001,Citibank NA,CITIUS33,WIRE-20240102-002,Approved,J. Smith,IBOR Asset Management Ltd
CASH-IBOR-MA-FUND,IBOR-MA,FundsIn,15000000,USD,2024-01-02,MultiAsset,CUST-BNY-001,2024-01-03,2024-01-03,Initial Funding,Client Wire Transfer,CITI-USD-8899001,Citibank NA,CITIUS33,WIRE-20240102-003,Approved,K. Nakamura,IBOR Asset Management Ltd
CASH-IBOR-CASH-FUND,IBOR-CASH,FundsIn,10000000,USD,2024-01-02,,,2024-01-03,2024-01-03,Initial Funding,Client Wire Transfer,CITI-USD-8899001,Citibank NA,CITIUS33,WIRE-20240102-004,Approved,J. Smith,IBOR Asset Management Ltd
CASH-IBOR-EQ-GBP,IBOR-EQ,FundsIn,1000000,GBP,2024-04-01,CoreEquity,CUST-BNY-001,2024-04-02,2024-04-02,Subscription,Client Wire Transfer,HSBC-GBP-7712003,HSBC UK,HBUKGB4B,WIRE-20240401-005,Approved,K. Nakamura,IBOR Asset Management Ltd
CASH-IBOR-FI-GBP,IBOR-FI,FundsIn,2000000,GBP,2024-06-01,InvestmentGrade,CUST-JPM-002,2024-06-02,2024-06-02,Subscription,Client Wire Transfer,HSBC-GBP-7712003,HSBC UK,HBUKGB4B,WIRE-20240601-006,Approved,K. Nakamura,IBOR Asset Management Ltd
CASH-IBOR-MA-EUR,IBOR-MA,FundsIn,500000,EUR,2024-05-01,IndexAllocation,CUST-JPM-002,2024-05-02,2024-05-02,Subscription,Client Wire Transfer,BNP-EUR-5540012,BNP Paribas,BNPAFRPP,WIRE-20240501-007,Approved,K. Nakamura,IBOR Asset Management Ltd
CASH-SP500-FUND,IBOR-SP500,FundsIn,50000000,USD,2024-01-15,LargeCapCore,CUST-BNY-001,2024-01-16,2024-01-16,Initial Funding,Client Wire Transfer,CITI-USD-8899001,Citibank NA,CITIUS33,WIRE-20240115-008,Approved,J. Smith,IBOR Asset Management Ltd
CASH-AITECH-FUND,IBOR-AITECH,FundsIn,10000000,USD,2024-02-15,AICore,CUST-BNY-001,2024-02-16,2024-02-16,Initial Funding,Client Wire Transfer,CITI-USD-8899001,Citibank NA,CITIUS33,WIRE-20240215-009,Approved,K. Nakamura,IBOR Asset Management Ltd
CASH-BLKC-FUND,IBOR-BLKC,FundsIn,5000000,USD,2024-03-15,BlockchainCore,CUST-JPM-002,2024-03-16,2024-03-16,Initial Funding,Client Wire Transfer,CITI-USD-8899001,Citibank NA,CITIUS33,WIRE-20240315-010,Approved,A. Williams,IBOR Asset Management Ltd
CASH-GAGG-FUND,IBOR-GAGG,FundsIn,100000000,USD,2024-01-15,InvestmentGrade,CUST-STATE-003,2024-01-16,2024-01-16,Initial Funding,Client Wire Transfer,CITI-USD-8899001,Citibank NA,CITIUS33,WIRE-20240115-011,Approved,J. Smith,IBOR Asset Management Ltd
CASH-GAGG-GBP,IBOR-GAGG,FundsIn,20000000,GBP,2024-01-15,InvestmentGrade,CUST-BNY-001,2024-01-16,2024-01-16,Subscription,Client Wire Transfer,HSBC-GBP-7712003,HSBC UK,HBUKGB4B,WIRE-20240115-012,Approved,J. Smith,IBOR Asset Management Ltd
